,iso_code,continent,Country,date,Cases,Deaths,Vaxxed,GDP,HDI,Score,Rank
0,AFG,Asia,Afghanistan,2021-04-27,1521.385,66.738,,1803.987,0.511,19.0,165.0
1,ALB,Europe,Albania,2021-04-27,45429.147000000004,828.063,,11803.431,0.795,36.0,104.0
2,DZA,Africa,Algeria,2021-04-27,2767.1859999999997,73.544,,13913.839,0.748,36.0,104.0
3,AGO,Africa,Angola,2021-04-27,789.32,17.86,,5819.495,0.581,27.0,142.0
4,ARG,South America,Argentina,2021-04-27,64279.722,1385.0629999999999,1.95,18933.907,0.845,42.0,78.0
5,ARM,Asia,Armenia,2021-04-27,72239.992,1369.45,,8787.58,0.7759999999999999,49.0,60.0
6,AUS,Oceania,Australia,2021-04-27,1166.672,35.686,,44648.71,0.9440000000000001,77.0,11.0
7,AUT,Europe,Austria,2021-04-27,67970.554,1124.312,,45436.685999999994,0.922,76.0,15.0
8,AZE,Asia,Azerbaijan,2021-04-27,31079.353,436.82099999999997,4.87,15847.419,0.7559999999999999,30.0,129.0
9,BHS,North America,Bahamas,2021-04-27,25988.689,503.499,,27717.847,0.8140000000000001,63.0,30.0
10,BHR,Asia,Bahrain,2021-04-27,101992.086,367.89300000000003,31.14,43290.705,0.852,42.0,78.0
11,BGD,Asia,Bangladesh,2021-04-27,4564.101,68.17699999999999,,3523.9840000000004,0.632,26.0,146.0
12,BRB,North America,Barbados,2021-04-27,13320.76,153.112,,16978.068,0.8140000000000001,64.0,29.0
13,BLR,Europe,Belarus,2021-04-27,37533.808,265.839,,17167.967,0.823,47.0,63.0
14,BEL,Europe,Belgium,2021-04-27,84475.103,2079.7929999999997,6.6,42658.575999999994,0.9309999999999999,76.0,15.0
15,BEN,Africa,Benin,2021-04-27,636.7959999999999,8.001,,2064.236,0.545,41.0,83.0
16,BTN,Asia,Bhutan,2021-04-27,1364.6760000000002,1.296,,8708.597,0.654,68.0,24.0
17,BOL,South America,Bolivia,2021-04-27,25722.372000000003,1103.827,,6885.829000000001,0.718,31.0,124.0
18,BIH,Europe,Bosnia and Herzegovina,2021-04-27,59964.369000000006,2565.826,,11713.895,0.78,35.0,111.0
19,BWA,Africa,Botswana,2021-04-27,19816.085,298.517,,15807.374,0.735,60.0,35.0
20,BRA,South America,Brazil,2021-04-27,67941.302,1858.408,5.76,14103.452,0.765,38.0,94.0
21,BRN,Asia,Brunei,2021-04-27,509.73400000000004,6.857,,71809.25099999999,0.838,60.0,35.0
22,BGR,Europe,Bulgaria,2021-04-27,57726.441,2328.866,2.56,18563.307,0.816,44.0,69.0
23,BFA,Africa,Burkina Faso,2021-04-27,634.494,7.462999999999999,,1703.102,0.452,40.0,86.0
24,BDI,Africa,Burundi,2021-04-27,326.64,0.505,,702.225,0.433,19.0,165.0
25,KHM,Asia,Cambodia,2021-04-27,661.703,4.905,4.9,3645.07,0.594,21.0,160.0
26,CMR,Africa,Cameroon,2021-04-27,2486.188,37.332,,3364.926,0.563,25.0,149.0
27,CAN,North America,Canada,2021-04-27,31865.481,637.165,2.77,44017.59099999999,0.929,77.0,11.0
28,CAF,Africa,Central African Republic,2021-04-27,1316.6270000000002,18.012999999999998,,661.24,0.397,26.0,146.0
29,TCD,Africa,Chad,2021-04-27,290.944,10.35,,1768.1529999999998,0.39799999999999996,21.0,160.0
30,CHL,South America,Chile,2021-04-27,61715.793,1361.149,,22767.037,0.851,67.0,25.0
31,CHN,Asia,China,2021-04-27,71.158,3.366,,15308.712,0.7609999999999999,42.0,78.0
32,COL,South America,Colombia,2021-04-27,55124.254,1419.6329999999998,2.84,13254.948999999999,0.767,39.0,92.0
33,COM,Africa,Comoros,2021-04-27,4403.1990000000005,167.894,,1413.89,0.5539999999999999,21.0,160.0
34,COG,Africa,Congo,2021-04-27,1935.089,26.096,,4881.406,0.574,19.0,165.0
35,CRI,North America,Costa Rica,2021-04-27,47734.89599999999,625.428,,15524.995,0.81,57.0,42.0
36,CIV,Africa,Cote d'Ivoire,2021-04-27,1739.5,10.804,,3601.006,0.5379999999999999,36.0,104.0
37,HRV,Europe,Croatia,2021-04-27,79125.894,1694.652,4.22,22669.797000000002,0.851,47.0,63.0
38,CUB,North America,Cuba,2021-04-27,9139.888,53.326,,,0.7829999999999999,47.0,63.0
39,CYP,Europe,Cyprus,2021-04-27,72748.114,345.93,,32415.132,0.887,57.0,42.0
40,CZE,Europe,Czechia,2021-04-27,151534.198,2715.011,9.03,32605.906000000003,0.9,54.0,49.0
41,DNK,Europe,Denmark,2021-04-27,43100.009000000005,428.162,10.13,46682.515,0.94,88.0,1.0
42,DJI,Africa,Djibouti,2021-04-27,11063.743,143.724,,2705.406,0.524,27.0,142.0
43,DMA,North America,Dominica,2021-04-27,2403.078,,,9673.367,0.742,55.0,48.0
44,DOM,North America,Dominican Republic,2021-04-27,24473.022999999997,319.14,,14600.861,0.7559999999999999,28.0,137.0
45,ECU,South America,Ecuador,2021-04-27,21273.464,1042.28,,10581.936000000002,0.759,39.0,92.0
46,EGY,Africa,Egypt,2021-04-27,2193.9539999999997,128.67600000000002,,10550.206,0.7070000000000001,33.0,117.0
47,SLV,North America,El Salvador,2021-04-27,10625.943000000001,325.46,0.62,7292.4580000000005,0.6729999999999999,36.0,104.0
48,GNQ,Africa,Equatorial Guinea,2021-04-27,5387.798000000001,76.266,,22604.873,0.5920000000000001,16.0,174.0
49,ERI,Africa,Eritrea,2021-04-27,1026.385,2.82,,1510.4589999999998,0.45899999999999996,21.0,160.0
50,EST,Europe,Estonia,2021-04-27,91091.17800000001,865.41,,29481.252,0.892,75.0,17.0
51,SWZ,Africa,Eswatini,2021-04-27,15901.2,578.367,,7738.975,0.611,33.0,117.0
52,ETH,Africa,Ethiopia,2021-04-27,2209.778,31.358,,1729.9270000000001,0.485,38.0,94.0
53,FIN,Europe,Finland,2021-04-27,15550.511999999999,163.878,2.79,40585.721,0.938,85.0,3.0
54,FRA,Europe,France,2021-04-27,82107.01299999999,1522.605,,38605.671,0.9009999999999999,69.0,23.0
55,GAB,Africa,Gabon,2021-04-27,10139.604,62.001999999999995,,16562.413,0.703,30.0,129.0
56,GMB,Africa,Gambia,2021-04-27,2433.9339999999997,72.0,,1561.767,0.496,37.0,102.0
57,GEO,Asia,Georgia,2021-04-27,76669.988,1017.7539999999999,,9745.079,0.812,56.0,45.0
58,DEU,Europe,Germany,2021-04-27,39847.3,982.587,,45229.245,0.9470000000000001,80.0,9.0
59,GHA,Africa,Ghana,2021-04-27,2975.708,25.07,,4227.63,0.611,43.0,75.0
60,GRC,Europe,Greece,2021-04-27,32401.534,976.585,8.45,24574.382,0.888,50.0,59.0
61,GRD,North America,Grenada,2021-04-27,1413.095,8.887,,13593.877,0.779,53.0,52.0
62,GTM,North America,Guatemala,2021-04-27,12448.671,416.00699999999995,,7423.808000000001,0.6629999999999999,25.0,149.0
63,GIN,Africa,Guinea,2021-04-27,1678.6989999999998,10.735999999999999,,1998.9260000000002,0.47700000000000004,28.0,137.0
64,GUY,South America,Guyana,2021-04-27,16306.469,369.966,,7435.047,0.682,41.0,83.0
65,HTI,North America,Haiti,2021-04-27,1140.01,22.188000000000002,,1653.1729999999998,0.51,18.0,170.0
66,HND,North America,Honduras,2021-04-27,20931.671000000002,524.3009999999999,,4541.795,0.634,24.0,157.0
67,HKG,Asia,Hong Kong,2021-04-27,,,6.06,56054.92,0.9490000000000001,77.0,11.0
68,HUN,Europe,Hungary,2021-04-27,79987.475,2793.2740000000003,18.36,26777.561,0.8540000000000001,44.0,69.0
69,ISL,Europe,Iceland,2021-04-27,18892.308,84.98200000000001,,46482.958,0.9490000000000001,75.0,17.0
70,IND,Asia,India,2021-04-27,13041.345,145.787,1.71,6426.674,0.645,40.0,86.0
71,IDN,Asia,Indonesia,2021-04-27,6038.945,164.297,2.64,11188.743999999999,0.718,37.0,102.0
72,IRN,Asia,Iran,2021-04-27,29028.542,839.737,,19082.62,0.7829999999999999,25.0,149.0
