iso_code,continent,Country,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,Cases,new_cases_per_million,new_cases_smoothed_per_million,Deaths,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,Population,Density,GDP,HDI,Score,Region
ALB,Europe,Albania,2021-04-30,131085.0,108.0,116.429,2394.0,5.0,3.8569999999999998,45550.42,37.529,40.457,831.885,1.7369999999999999,1.34,0.73,476903.0,,,23655.0,12222.0,16.57,,4247.0,2877800.0,104.87100000000001,11803.431,0.795,36.0,Eastern Europe
AND,Europe,Andorra,2021-04-30,13232.0,34.0,32.143,125.0,0.0,0.28600000000000003,171254.77300000002,440.04400000000004,416.00800000000004,1617.809,0.0,3.698,0.85,,,,,,,,,77265.0,163.755,,0.868,,Southern Europe
AUT,Europe,Austria,2021-04-30,618870.0,2131.0,2006.714,10205.0,26.0,21.429000000000002,68714.47,236.61,222.81,1133.083,2.887,2.379,0.88,3137333.0,2294038.0,843324.0,77319.0,50187.0,34.83,25.47,5572.0,9006400.0,106.749,45436.685999999994,0.922,76.0,Western Europe
BLR,Europe,Belarus,2021-04-30,358738.0,1505.0,1216.714,2542.0,10.0,9.857000000000001,37964.421,159.27100000000002,128.762,269.014,1.058,1.043,0.98,,,,,,,,,9449321.0,46.858000000000004,17167.967,0.823,47.0,Eastern Europe
BEL,Europe,Belgium,2021-04-30,990229.0,3607.0,3160.2859999999996,24230.0,45.0,39.429,85441.05300000001,311.22700000000003,272.683,2090.665,3.883,3.4019999999999997,0.92,3862982.0,3034674.0,830588.0,70178.0,59396.0,33.33,26.18,5125.0,11589616.0,375.564,42658.575999999994,0.9309999999999999,76.0,Western Europe
BIH,Europe,Bosnia and Herzegovina,2021-04-30,198461.0,595.0,532.571,8551.0,39.0,49.714,60491.372,181.357,162.329,2606.365,11.887,15.152999999999999,0.8,,,,,,,,,3280815.0,68.49600000000001,11713.895,0.78,35.0,Eastern Europe
BGR,Europe,Bulgaria,2021-04-30,404380.0,652.0,1154.0,16399.0,31.0,81.857,58197.194,93.834,166.08,2360.096,4.461,11.780999999999999,0.66,815463.0,602109.0,213354.0,12287.0,14075.0,11.74,8.67,2026.0,6948445.0,65.18,18563.307,0.816,44.0,Eastern Europe
HRV,Europe,Croatia,2021-04-30,332183.0,2007.0,1906.5710000000001,7081.0,41.0,42.428999999999995,80916.276,488.884,464.421,1724.8570000000002,9.987,10.335,0.87,901120.0,702470.0,198650.0,28394.0,18700.0,21.95,17.11,4555.0,4105268.0,73.726,22669.797000000002,0.851,47.0,Eastern Europe
CYP,Europe,Cyprus,2021-04-30,65233.0,0.0,650.286,308.0,0.0,1.571,74475.482,0.0,742.421,351.639,0.0,1.794,0.93,,,,,,,,,875899.0,127.65700000000001,32415.132,0.887,57.0,Southern Europe
CZE,Europe,Czechia,2021-04-30,1630758.0,2222.0,2185.286,29267.0,54.0,57.714,152279.46,207.489,204.06099999999998,2732.94,5.042,5.388999999999999,0.79,3159628.0,2159121.0,1006650.0,67494.0,52917.0,29.5,20.16,4941.0,10708982.0,137.17600000000002,32605.906000000003,0.9,54.0,Eastern Europe
