iso_code,continent,Country,date,Cases,Deaths,Population,Density,GDP,HDI,Score
AFG,Asia,Afghanistan,2021-04-30,1534.743,67.432,38928341.0,54.422,1803.987,0.511,19.0
ALB,Europe,Albania,2021-04-30,45550.42,831.885,2877800.0,104.87100000000001,11803.431,0.795,36.0
DZA,Africa,Algeria,2021-04-30,2784.6090000000004,74.183,43851043.0,17.348,13913.839,0.748,36.0
AGO,Africa,Angola,2021-04-30,810.923,18.134,32866268.0,23.89,5819.495,0.581,27.0
ARG,South America,Argentina,2021-04-30,65877.018,1413.075,45195777.0,16.177,18933.907,0.845,42.0
ARM,Asia,Armenia,2021-04-30,72914.93,1386.3229999999999,2963234.0,102.931,8787.58,0.7759999999999999,49.0
AUS,Oceania,Australia,2021-04-30,1169.0639999999999,35.686,25499881.0,3.202,44648.71,0.9440000000000001,77.0
AUT,Europe,Austria,2021-04-30,68714.47,1133.083,9006400.0,106.749,45436.685999999994,0.922,76.0
AZE,Asia,Azerbaijan,2021-04-30,31472.876,445.5,10139175.0,119.309,15847.419,0.7559999999999999,30.0
BHS,North America,Bahamas,2021-04-30,26581.19,506.042,393248.0,39.497,27717.847,0.8140000000000001,63.0
BHR,Asia,Bahrain,2021-04-30,103981.998,379.64599999999996,1701583.0,1935.9070000000002,43290.705,0.852,42.0
BGD,Asia,Bangladesh,2021-04-30,4609.477,69.525,164689383.0,1265.036,3523.9840000000004,0.632,26.0
BRB,North America,Barbados,2021-04-30,13414.715,153.112,287371.0,664.4630000000001,16978.068,0.8140000000000001,64.0
BLR,Europe,Belarus,2021-04-30,37964.421,269.014,9449321.0,46.858000000000004,17167.967,0.823,47.0
BEL,Europe,Belgium,2021-04-30,85441.05300000001,2090.665,11589616.0,375.564,42658.575999999994,0.9309999999999999,76.0
BEN,Africa,Benin,2021-04-30,645.127,8.166,12123198.0,99.11,2064.236,0.545,41.0
BTN,Asia,Bhutan,2021-04-30,1391.891,1.296,771612.0,21.188000000000002,8708.597,0.654,68.0
BOL,South America,Bolivia,2021-04-30,26019.982000000004,1109.481,11673029.0,10.202,6885.829000000001,0.718,31.0
BIH,Europe,Bosnia and Herzegovina,2021-04-30,60491.372,2606.365,3280815.0,68.49600000000001,11713.895,0.78,35.0
BWA,Africa,Botswana,2021-04-30,19958.113999999998,302.769,2351625.0,4.044,15807.374,0.735,60.0
BRA,South America,Brazil,2021-04-30,68964.30099999999,1899.615,212559409.0,25.04,14103.452,0.765,38.0
BRN,Asia,Brunei,2021-04-30,512.02,6.857,437483.0,81.347,71809.25099999999,0.838,60.0
BGR,Europe,Bulgaria,2021-04-30,58197.194,2360.096,6948445.0,65.18,18563.307,0.816,44.0
BFA,Africa,Burkina Faso,2021-04-30,636.742,7.511,20903278.0,70.15100000000001,1703.102,0.452,40.0
BDI,Africa,Burundi,2021-04-30,335.975,0.505,11890781.0,423.06199999999995,702.225,0.433,19.0
KHM,Asia,Cambodia,2021-04-30,801.6039999999999,5.563,16718971.0,90.67200000000001,3645.07,0.594,21.0
CMR,Africa,Cameroon,2021-04-30,2721.705,41.701,26545864.0,50.885,3364.926,0.563,25.0
CAN,North America,Canada,2021-04-30,32546.285,641.7230000000001,37742157.0,4.037,44017.59099999999,0.929,77.0
CAF,Africa,Central African Republic,2021-04-30,1327.394,18.22,4829764.0,7.479,661.24,0.397,26.0
TCD,Africa,Chad,2021-04-30,293.257,10.35,16425859.0,11.833,1768.1529999999998,0.39799999999999996,21.0
CHL,South America,Chile,2021-04-30,62682.14599999999,1378.568,19116209.0,24.281999999999996,22767.037,0.851,67.0
CHN,Asia,China,2021-04-30,71.21,3.366,1439323774.0,147.674,15308.712,0.7609999999999999,42.0
COL,South America,Colombia,2021-04-30,56202.082,1448.817,50882884.0,44.223,13254.948999999999,0.767,39.0
COM,Africa,Comoros,2021-04-30,4408.9490000000005,167.894,869595.0,437.352,1413.89,0.5539999999999999,21.0
COG,Africa,Congo,2021-04-30,1935.089,26.096,5518092.0,15.405,4881.406,0.574,19.0
CRI,North America,Costa Rica,2021-04-30,49270.78599999999,634.261,5094114.0,96.079,15524.995,0.81,57.0
CIV,Africa,Cote d'Ivoire,2021-04-30,1745.224,10.842,26378275.0,76.399,3601.006,0.5379999999999999,36.0
HRV,Europe,Croatia,2021-04-30,80916.276,1724.8570000000002,4105268.0,73.726,22669.797000000002,0.851,47.0
CYP,Europe,Cyprus,2021-04-30,74475.482,351.639,875899.0,127.65700000000001,32415.132,0.887,57.0
CZE,Europe,Czechia,2021-04-30,152279.46,2732.94,10708982.0,137.17600000000002,32605.906000000003,0.9,54.0
DNK,Europe,Denmark,2021-04-30,43377.105,428.852,5792203.0,136.52,46682.515,0.94,88.0
DJI,Africa,Djibouti,2021-04-30,11234.795,144.737,988002.0,41.285,2705.406,0.524,27.0
DOM,North America,Dominican Republic,2021-04-30,24572.581000000002,320.79900000000004,10847904.0,222.873,14600.861,0.7559999999999999,28.0
ECU,South America,Ecuador,2021-04-30,21643.751,1055.996,17643060.0,66.939,10581.936000000002,0.759,39.0
EGY,Africa,Egypt,2021-04-30,2223.612,130.347,102334403.0,97.999,10550.206,0.7070000000000001,33.0
SLV,North America,El Salvador,2021-04-30,10668.495,327.464,6486201.0,307.811,7292.4580000000005,0.6729999999999999,36.0
GNQ,Africa,Equatorial Guinea,2021-04-30,5484.022,79.83,1402985.0,45.193999999999996,22604.873,0.5920000000000001,16.0
ERI,Africa,Eritrea,2021-04-30,1035.126,2.82,3546427.0,44.303999999999995,1510.4589999999998,0.45899999999999996,21.0
EST,Europe,Estonia,2021-04-30,91982.972,875.21,1326539.0,31.033,29481.252,0.892,75.0
SWZ,Africa,Eswatini,2021-04-30,15909.82,578.367,1160164.0,79.492,7738.975,0.611,33.0
ETH,Africa,Ethiopia,2021-04-30,2239.335,32.08,114963583.0,104.95700000000001,1729.9270000000001,0.485,38.0
FIN,Europe,Finland,2021-04-30,15667.284,164.96099999999998,5540718.0,18.136,40585.721,0.938,85.0
FRA,Europe,France,2021-04-30,83316.621,1536.0020000000002,68147687.0,122.57799999999999,38605.671,0.9009999999999999,69.0
GAB,Africa,Gabon,2021-04-30,10367.394,62.451,2225728.0,7.859,16562.413,0.703,30.0
GMB,Africa,Gambia,2021-04-30,2440.554,72.0,2416664.0,207.56599999999997,1561.767,0.496,37.0
GEO,Asia,Georgia,2021-04-30,77788.01400000001,1030.288,3989175.0,65.032,9745.079,0.812,56.0
DEU,Europe,Germany,2021-04-30,40644.601,991.801,83783945.0,237.016,45229.245,0.9470000000000001,80.0
GHA,Africa,Ghana,2021-04-30,2978.862,25.07,31072945.0,126.719,4227.63,0.611,43.0
GRC,Europe,Greece,2021-04-30,33102.863,995.965,10423056.0,83.479,24574.382,0.888,50.0
GRD,North America,Grenada,2021-04-30,1421.9820000000002,8.887,112519.0,317.132,13593.877,0.779,53.0
GTM,North America,Guatemala,2021-04-30,12707.999,419.97,17915567.0,157.834,7423.808000000001,0.6629999999999999,25.0
GIN,Africa,Guinea,2021-04-30,1691.567,10.965,13132792.0,51.755,1998.9260000000002,0.47700000000000004,28.0
GUY,South America,Guyana,2021-04-30,16887.481,376.32300000000004,786559.0,3.952,7435.047,0.682,41.0
HTI,North America,Haiti,2021-04-30,1145.009,22.276,11402533.0,398.44800000000004,1653.1729999999998,0.51,18.0
HND,North America,Honduras,2021-04-30,21437.799,533.186,9904608.0,82.805,4541.795,0.634,24.0
HUN,Europe,Hungary,2021-04-30,80674.924,2850.828,9660350.0,108.04299999999999,26777.561,0.8540000000000001,44.0
ISL,Europe,Iceland,2021-04-30,18965.568,84.98200000000001,341250.0,3.404,46482.958,0.9490000000000001,75.0
IND,Asia,India,2021-04-30,13887.615,153.516,1380004385.0,450.41900000000004,6426.674,0.645,40.0
IDN,Asia,Indonesia,2021-04-30,6099.539000000001,166.424,273523621.0,145.725,11188.743999999999,0.718,37.0
IRN,Asia,Iran,2021-04-30,29753.412999999997,854.334,83992953.0,49.831,19082.62,0.7829999999999999,25.0
IRQ,Asia,Iraq,2021-04-30,26482.662999999997,384.486,40222503.0,88.125,15663.986,0.674,21.0
IRL,Europe,Ireland,2021-04-30,50401.029,992.953,4937796.0,69.874,67335.293,0.955,72.0
ISR,Asia,Israel,2021-04-30,96872.165,735.1360000000001,8655541.0,402.606,33132.32,0.919,60.0
ITA,Europe,Italy,2021-04-30,66532.11,1998.0710000000001,60461828.0,205.859,35220.084,0.892,53.0
JAM,North America,Jamaica,2021-04-30,15391.936000000002,262.735,2961161.0,266.879,8193.571,0.7340000000000001,44.0
JPN,Asia,Japan,2021-04-30,4690.707,80.64,126476458.0,347.778,39002.223,0.919,74.0
JOR,Asia,Jordan,2021-04-30,69720.988,866.008,10203140.0,109.285,8337.49,0.7290000000000001,49.0
KAZ,Asia,Kazakhstan,2021-04-30,20000.259,177.56,18776707.0,6.681,24055.588,0.825,38.0
KEN,Africa,Kenya,2021-04-30,2962.882,50.659,53771300.0,87.324,2993.028,0.601,31.0
KWT,Asia,Kuwait,2021-04-30,64158.051,365.994,4270563.0,232.128,65530.537000000004,0.8059999999999999,42.0
KGZ,Asia,Kyrgyzstan,2021-04-30,14603.343,245.854,6524191.0,32.333,3393.474,0.6970000000000001,31.0
LVA,Europe,Latvia,2021-04-30,62855.41,1129.7839999999999,1886202.0,31.212,25063.846,0.866,57.0
LBN,Asia,Lebanon,2021-04-30,77149.289,1066.305,6825442.0,594.561,13367.565,0.7440000000000001,25.0
LSO,Africa,Lesotho,2021-04-30,5009.215,147.50799999999998,2142252.0,73.562,2851.153,0.527,41.0
LBR,Africa,Liberia,2021-04-30,415.01300000000003,16.805999999999997,5057677.0,49.126999999999995,752.788,0.48,28.0
LBY,Africa,Libya,2021-04-30,25833.297000000002,440.82,6871287.0,3.623,17881.509,0.7240000000000001,17.0
LTU,Europe,Lithuania,2021-04-30,90831.215,1441.066,2722291.0,45.135,29524.265,0.882,60.0
LUX,Europe,Luxembourg,2021-04-30,107360.34599999999,1271.614,625976.0,231.447,94277.965,0.9159999999999999,80.0
MDG,Africa,Madagascar,2021-04-30,1336.6789999999999,23.221,27691019.0,43.951,1416.44,0.528,25.0
MWI,Africa,Malawi,2021-04-30,1781.395,60.011,19129955.0,197.519,1095.042,0.483,30.0
MYS,Asia,Malaysia,2021-04-30,12627.851,46.53,32365998.0,96.25399999999999,26808.164,0.81,51.0
MDV,Asia,Maldives,2021-04-30,55194.600999999995,135.05,540542.0,1454.433,15183.616000000002,0.74,43.0
MLI,Africa,Mali,2021-04-30,684.317,23.9,20250834.0,15.196,2014.306,0.434,30.0
MLT,Europe,Malta,2021-04-30,68605.491,935.365,441539.0,1454.037,36513.323,0.895,53.0
MRT,Africa,Mauritania,2021-04-30,3957.7090000000003,97.85700000000001,4649660.0,4.289,3597.633,0.546,29.0
MUS,Africa,Mauritius,2021-04-30,950.6460000000001,13.367,1271767.0,622.962,20292.745,0.804,53.0
MEX,North America,Mexico,2021-04-30,18185.876,1682.3270000000002,128932753.0,66.444,17336.468999999997,0.779,31.0
MDA,Europe,Moldova,2021-04-30,62181.28400000001,1440.767,4033963.0,123.655,5189.972,0.75,34.0
MNG,Asia,Mongolia,2021-04-30,11373.3,35.079,3278292.0,1.98,11840.846000000001,0.737,35.0
