iso_code,continent,Country,date,Cases,Deaths,Population,Density,GDP,HDI,Score
AFG,Asia,Afghanistan,2020-08-31,980.237,36.041,38928341.0,54.422,1803.987,0.511,19.0
ALB,Europe,Albania,2020-08-31,3305.65,98.686,2877800.0,104.87100000000001,11803.431,0.795,36.0
DZA,Africa,Algeria,2020-08-31,1014.6619999999999,34.435,43851043.0,17.348,13913.839,0.748,36.0
AGO,Africa,Angola,2020-08-31,80.751,3.286,32866268.0,23.89,5819.495,0.581,27.0
ARG,South America,Argentina,2020-08-31,9242.788,191.611,45195777.0,16.177,18933.907,0.845,42.0
ARM,Asia,Armenia,2020-08-31,14774.736,296.635,2963234.0,102.931,8787.58,0.7759999999999999,49.0
AUS,Oceania,Australia,2020-08-31,1012.515,25.765,25499881.0,3.202,44648.71,0.9440000000000001,77.0
AUT,Europe,Austria,2020-08-31,3046.5,81.387,9006400.0,106.749,45436.685999999994,0.922,76.0
AZE,Asia,Azerbaijan,2020-08-31,3593.488,52.667,10139175.0,119.309,15847.419,0.7559999999999999,30.0
BHS,North America,Bahamas,2020-08-31,5637.664000000001,127.146,393248.0,39.497,27717.847,0.8140000000000001,63.0
BHR,Asia,Bahrain,2020-08-31,30543.322999999997,111.661,1701583.0,1935.9070000000002,43290.705,0.852,42.0
BGD,Asia,Bangladesh,2020-08-31,1900.523,25.994,164689383.0,1265.036,3523.9840000000004,0.632,26.0
BRB,North America,Barbados,2020-08-31,605.489,24.359,287371.0,664.4630000000001,16978.068,0.8140000000000001,64.0
BLR,Europe,Belarus,2020-08-31,7602.98,72.069,9449321.0,46.858000000000004,17167.967,0.823,47.0
BEL,Europe,Belgium,2020-08-31,7354.515,853.7819999999999,11589616.0,375.564,42658.575999999994,0.9309999999999999,76.0
BEN,Africa,Benin,2020-08-31,176.93400000000003,3.299,12123198.0,99.11,2064.236,0.545,41.0
BOL,South America,Bolivia,2020-08-31,9988.667,430.651,11673029.0,10.202,6885.829000000001,0.718,31.0
BIH,Europe,Bosnia and Herzegovina,2020-08-31,6085.073,185.625,3280815.0,68.49600000000001,11713.895,0.78,35.0
BWA,Africa,Botswana,2020-08-31,694.413,2.551,2351625.0,4.044,15807.374,0.735,60.0
BRA,South America,Brazil,2020-08-31,18386.728,571.045,212559409.0,25.04,14103.452,0.765,38.0
BRN,Asia,Brunei,2020-08-31,329.156,6.857,437483.0,81.347,71809.25099999999,0.838,60.0
BGR,Europe,Bulgaria,2020-08-31,2340.955,90.524,6948445.0,65.18,18563.307,0.816,44.0
BFA,Africa,Burkina Faso,2020-08-31,65.444,2.6310000000000002,20903278.0,70.15100000000001,1703.102,0.452,40.0
BDI,Africa,Burundi,2020-08-31,37.424,0.084,11890781.0,423.06199999999995,702.225,0.433,19.0
CMR,Africa,Cameroon,2020-08-31,721.092,15.482999999999999,26545864.0,50.885,3364.926,0.563,25.0
CAN,North America,Canada,2020-08-31,3468.7470000000003,243.574,37742157.0,4.037,44017.59099999999,0.929,77.0
CAF,Africa,Central African Republic,2020-08-31,975.41,12.837,4829764.0,7.479,661.24,0.397,26.0
