iso_code,continent,Country,date,Cases,Deaths,CasesPerMil,DeathsPerMil,Population,Density,GDP,HDI,Score,Region
ALB,Europe,Albania,2021-04-30,131085.0,2394.0,45550.42,831.885,2877800.0,104.87100000000001,11803.431,0.795,36.0,Eastern Europe
AUT,Europe,Austria,2021-04-30,618870.0,10205.0,68714.47,1133.083,9006400.0,106.749,45436.685999999994,0.922,76.0,Western Europe
BLR,Europe,Belarus,2021-04-30,358738.0,2542.0,37964.421,269.014,9449321.0,46.858000000000004,17167.967,0.823,47.0,Eastern Europe
BEL,Europe,Belgium,2021-04-30,990229.0,24230.0,85441.05300000001,2090.665,11589616.0,375.564,42658.575999999994,0.9309999999999999,76.0,Western Europe
BIH,Europe,Bosnia and Herzegovina,2021-04-30,198461.0,8551.0,60491.372,2606.365,3280815.0,68.49600000000001,11713.895,0.78,35.0,Eastern Europe
BGR,Europe,Bulgaria,2021-04-30,404380.0,16399.0,58197.194,2360.096,6948445.0,65.18,18563.307,0.816,44.0,Eastern Europe
HRV,Europe,Croatia,2021-04-30,332183.0,7081.0,80916.276,1724.8570000000002,4105268.0,73.726,22669.797000000002,0.851,47.0,Eastern Europe
CYP,Europe,Cyprus,2021-04-30,65233.0,308.0,74475.482,351.639,875899.0,127.65700000000001,32415.132,0.887,57.0,Southern Europe
CZE,Europe,Czechia,2021-04-30,1630758.0,29267.0,152279.46,2732.94,10708982.0,137.17600000000002,32605.906000000003,0.9,54.0,Eastern Europe
DNK,Europe,Denmark,2021-04-30,251249.0,2484.0,43377.105,428.852,5792203.0,136.52,46682.515,0.94,88.0,Northern Europe
EST,Europe,Estonia,2021-04-30,122019.0,1161.0,91982.972,875.21,1326539.0,31.033,29481.252,0.892,75.0,Eastern Europe
FIN,Europe,Finland,2021-04-30,86808.0,914.0,15667.284,164.96099999999998,5540718.0,18.136,40585.721,0.938,85.0,Northern Europe
FRA,Europe,France,2021-04-30,5677835.0,104675.0,83316.621,1536.0020000000002,68147687.0,122.57799999999999,38605.671,0.9009999999999999,69.0,Western Europe
DEU,Europe,Germany,2021-04-30,3405365.0,83097.0,40644.601,991.801,83783945.0,237.016,45229.245,0.9470000000000001,80.0,Western Europe
GRC,Europe,Greece,2021-04-30,345033.0,10381.0,33102.863,995.965,10423056.0,83.479,24574.382,0.888,50.0,Southern Europe
HUN,Europe,Hungary,2021-04-30,779348.0,27540.0,80674.924,2850.828,9660350.0,108.04299999999999,26777.561,0.8540000000000001,44.0,Eastern Europe
ISL,Europe,Iceland,2021-04-30,6472.0,29.0,18965.568,84.98200000000001,341250.0,3.404,46482.958,0.9490000000000001,75.0,Northern Europe
IRL,Europe,Ireland,2021-04-30,248870.0,4903.0,50401.029,992.953,4937796.0,69.874,67335.293,0.955,72.0,Western Europe
ITA,Europe,Italy,2021-04-30,4022653.0,120807.0,66532.11,1998.0710000000001,60461828.0,205.859,35220.084,0.892,53.0,Southern Europe
LVA,Europe,Latvia,2021-04-30,118558.0,2131.0,62855.41,1129.7839999999999,1886202.0,31.212,25063.846,0.866,57.0,Eastern Europe
LTU,Europe,Lithuania,2021-04-30,247269.0,3923.0,90831.215,1441.066,2722291.0,45.135,29524.265,0.882,60.0,Eastern Europe
LUX,Europe,Luxembourg,2021-04-30,67205.0,796.0,107360.34599999999,1271.614,625976.0,231.447,94277.965,0.9159999999999999,80.0,Western Europe
MLT,Europe,Malta,2021-04-30,30292.0,413.0,68605.491,935.365,441539.0,1454.037,36513.323,0.895,53.0,Southern Europe
MDA,Europe,Moldova,2021-04-30,250837.0,5812.0,62181.28400000001,1440.767,4033963.0,123.655,5189.972,0.75,34.0,Eastern Europe
MNE,Europe,Montenegro,2021-04-30,97389.0,1495.0,155062.717,2380.3379999999997,628062.0,46.28,16409.288,0.8290000000000001,45.0,Eastern Europe
NLD,Europe,Netherlands,2021-04-30,1522973.0,17398.0,88881.487,1015.3560000000001,17134873.0,508.54400000000004,48472.545,0.9440000000000001,82.0,Western Europe
MKD,Europe,North Macedonia,2021-04-30,152367.0,4855.0,73134.522,2330.348,2083380.0,82.6,13111.214,0.774,35.0,Eastern Europe
NOR,Europe,Norway,2021-04-30,112970.0,756.0,20838.398,139.451,5421242.0,14.462,64800.057,0.9570000000000001,84.0,Northern Europe
POL,Europe,Poland,2021-04-30,2792142.0,67502.0,73775.23,1783.568,37846605.0,124.027,27216.445,0.88,56.0,Eastern Europe
PRT,Europe,Portugal,2021-04-30,836493.0,16974.0,82035.602,1664.655,10196707.0,112.37100000000001,27936.896,0.8640000000000001,61.0,Southern Europe
ROU,Europe,Romania,2021-04-30,1055265.0,28109.0,54854.062000000005,1461.1429999999998,19237682.0,85.12899999999999,23313.199,0.828,44.0,Eastern Europe
RUS,Europe,Russia,2021-04-30,4750755.0,108290.0,32554.031000000003,742.045,145934460.0,8.823,24765.953999999998,0.8240000000000001,30.0,Eastern Europe
SRB,Europe,Serbia,2021-04-30,689557.0,6362.0,101336.94900000001,934.956,6804596.0,80.291,14048.881000000001,0.8059999999999999,38.0,Eastern Europe
SVK,Europe,Slovakia,2021-04-30,382211.0,11684.0,70006.592,2140.067,5459643.0,113.12799999999999,30155.152000000002,0.86,49.0,Eastern Europe
SVN,Europe,Slovenia,2021-04-30,240292.0,4250.0,115584.34800000001,2044.319,2078932.0,102.619,31400.84,0.917,60.0,Eastern Europe
ESP,Europe,Spain,2021-04-30,3524077.0,78216.0,75373.615,1672.898,46754783.0,93.105,34272.36,0.904,62.0,Southern Europe
SWE,Europe,Sweden,2021-04-30,973604.0,14048.0,96403.403,1390.9920000000002,10099270.0,24.718000000000004,46949.282999999996,0.945,85.0,Northern Europe
CHE,Europe,Switzerland,2021-04-30,659974.0,10632.0,76256.86099999999,1228.4769999999999,8654618.0,214.243,57410.166,0.955,85.0,Western Europe
UKR,Europe,Ukraine,2021-04-30,2124070.0,45923.0,48568.200999999994,1050.058,43733759.0,77.39,7894.393,0.779,33.0,Eastern Europe
GBR,Europe,United Kingdom,2021-04-30,4432246.0,127775.0,65289.54,1882.1989999999998,67886004.0,272.89799999999997,39753.244,0.932,77.0,Western Europe
